# cam_id width height fx fy cx cy k1 k2 p1 p2 cam_name qvecw qvecx qvecy qvecz tvecx tvecy tvecz
1 1280 720 1015.2061211097563 1013.4443488751059 611.4492505421674 358.0175488611932 -0.40024454735304127 0.1407007680239311 0.000269572512644921 -1.117521055491982e-05 cam00 -0.4646052408785988 -0.09823830186751259 0.8160742220710873 0.3294147389923475 -0.13236350916279802 0.27404455510281855 4.08287238608082
2 1280 720 1017.7060462815803 1014.2455211656924 671.1020987844408 335.11507430573874 -0.3993980345801158 0.14090687825805656 -0.0012028919129445758 4.411578723340837e-05 cam01 0.8412315832050284 0.011850983427496851 -0.49245371961150947 -0.22288632001751785 0.02002566529955345 0.3399744743038692 4.13762139666547
3 1280 720 1009.754297692106 1014.934040137142 650.650460258541 321.1014069526272 -0.41128825799563573 0.1693153146994027 -0.002015107029675512 0.0010418777625016101 cam02 0.5683377952429584 -0.27701344006680956 -0.7747608953586307 0.001122293998107756 -0.3577578650630357 -0.1116598306106991 3.6256766793747177
4 1280 720 1012.1954907796826 1010.9525446051265 681.6163495799722 366.8463155352041 -0.404102897786123 0.1452471282685121 -0.001970293057995484 0.00023382304674398908 cam03 -0.4109407874320561 0.29371195030373154 0.8606250929759314 0.06469473559471066 0.018555065178887862 -0.1511156887024955 4.093185161992398
5 1280 720 1029.6281688051697 1023.1530237496175 638.9643902447381 360.4722913612733 -0.3986211884425533 0.14841586382415756 0.0014058476784058473 -0.0003656088616564871 cam04 0.8559673575242603 -0.017019184895620428 -0.4860029633450694 -0.175588581115729 0.3262852974877906 -1.211634406186099 3.4739170990922625
6 1280 720 1017.5174915129045 1014.0133438494 655.3352603439596 351.1692090849091 -0.398759251997064 0.14135515302032592 -0.0005632550778193522 0.0020080248529038883 cam05 0.7660326168195142 -0.269597032307504 -0.5815890046585569 0.047599367641842395 0.019112176940997226 -0.24396231148120384 4.165533920694067
7 1280 720 1008.279083915087 1008.7908699040565 622.9275635262068 369.2794933825835 -0.40717572067177193 0.14925034911929372 0.0010437379695716954 -0.002748107638963185 cam06 0.6818509133347705 0.06695593063863682 -0.6453625314857243 -0.3377920044808507 0.13638935576167155 0.04097148982435028 3.6174277637951686
8 1280 720 1009.0066392155666 1006.6880366122328 642.3009196913591 376.9426862311106 -0.4061905924708069 0.1513071753568546 -0.000868475878604688 -0.00014494420699203613 cam07 -0.3725560881870668 0.002690693700281915 0.8913012168285863 0.258412194375659 -0.6216808638297642 -0.6073589682599448 3.5240067627813088
9 1280 720 1033.7269859774253 1029.9464327642477 681.4010916566962 354.1003635095203 -0.42558583116086174 0.18804397248139493 -4.595164326378841e-05 -0.0008255720126011 cam08 0.9405172564424863 0.011996775524079024 -0.27615722609641175 -0.1975362098088826 0.5935133659387877 0.08368806069302898 4.081569689149059
10 1280 720 1015.8100477105106 1013.2466859836513 625.6020504606577 361.2722880074703 -0.4198108818919795 0.168953408875125 0.0005219746195495045 -0.00018407044651491677 cam09 0.9911157736060701 0.0704888383941209 0.10412223008817054 -0.04335214149906282 -0.5329861477597795 -0.014638461376226087 3.7325359063120866
11 1280 720 1043.8884481364528 1040.3126560625976 597.4752702368129 388.8964196961177 -0.4365056854632365 0.20290469117871013 0.0013381185300306694 0.00019496074889806324 cam10 0.9993684476727347 0.02513178080321684 -0.02360035055409045 -0.008609462443836617 0.5128430356306062 0.48524341735997023 3.3748075245376317
12 1280 720 1016.2386170779617 1013.9899892988927 626.6231650189466 337.5800601391649 -0.39828254436292077 0.14038507503093803 -0.00503529410732866 -0.0011920543378184656 cam11 0.8923780673488253 -0.3318842458462531 -0.3047234938680453 0.02564809074162639 0.9181344687804585 -0.49711070471175767 3.988392913098424
